[10-Jun-2025 09:37:45 America/Santiago] Usuario:|rcastro| Ingreso al sistema
[10-Jun-2025 09:39:54 America/Santiago] PHP Fatal error:  Uncaught PDOException: SQLSTATE[HY000]: General error: 1364 Field 'estado' doesn't have a default value in C:\xampp\htdocs\SGP-DEV\modelos\usuarios.modelo.php:64
Stack trace:
#0 C:\xampp\htdocs\SGP-DEV\modelos\usuarios.modelo.php(64): PDOStatement->execute()
#1 C:\xampp\htdocs\SGP-DEV\controladores\usuarios.controlador.php(80): ModeloUsuarios::mdlIngresarUsuario('usuarios', Array)
#2 C:\xampp\htdocs\SGP-DEV\vistas\modulos\usuarios.php(151): ControladorUsuarios::ctrCrearUsuario()
#3 C:\xampp\htdocs\SGP-DEV\vistas\plantilla.php(113): include('C:\\xampp\\htdocs...')
#4 C:\xampp\htdocs\SGP-DEV\controladores\plantilla.controlador.php(7): include('C:\\xampp\\htdocs...')
#5 C:\xampp\htdocs\SGP-DEV\index.php(19): ControladorPlantilla->ctrPlantilla()
#6 {main}
  thrown in C:\xampp\htdocs\SGP-DEV\modelos\usuarios.modelo.php on line 64
[10-Jun-2025 09:39:58 America/Santiago] PHP Fatal error:  Uncaught PDOException: SQLSTATE[HY000]: General error: 1364 Field 'estado' doesn't have a default value in C:\xampp\htdocs\SGP-DEV\modelos\usuarios.modelo.php:64
Stack trace:
#0 C:\xampp\htdocs\SGP-DEV\modelos\usuarios.modelo.php(64): PDOStatement->execute()
#1 C:\xampp\htdocs\SGP-DEV\controladores\usuarios.controlador.php(80): ModeloUsuarios::mdlIngresarUsuario('usuarios', Array)
#2 C:\xampp\htdocs\SGP-DEV\vistas\modulos\usuarios.php(151): ControladorUsuarios::ctrCrearUsuario()
#3 C:\xampp\htdocs\SGP-DEV\vistas\plantilla.php(113): include('C:\\xampp\\htdocs...')
#4 C:\xampp\htdocs\SGP-DEV\controladores\plantilla.controlador.php(7): include('C:\\xampp\\htdocs...')
#5 C:\xampp\htdocs\SGP-DEV\index.php(19): ControladorPlantilla->ctrPlantilla()
#6 {main}
  thrown in C:\xampp\htdocs\SGP-DEV\modelos\usuarios.modelo.php on line 64
[10-Jun-2025 09:56:35 America/Santiago] Usuario:|rcastro| Ingreso al sistema
[10-Jun-2025 10:06:03 America/Santiago] Usuario:|rcastro| Ingreso al sistema
[10-Jun-2025 10:06:06 America/Santiago] obtenerValorDCBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:06:06 America/Santiago] obtenerValorDCUBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:06:06 America/Santiago] obtenerValorDCUBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:15:50 America/Santiago] obtenerValorDCBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:15:50 America/Santiago] obtenerValorDCUBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:15:50 America/Santiago] obtenerValorDCUBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:29:38 America/Santiago] obtenerValorDCBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:29:38 America/Santiago] obtenerValorDCUBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:29:38 America/Santiago] obtenerValorDCUBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:30:49 America/Santiago] obtenerValorDCBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:30:49 America/Santiago] obtenerValorDCUBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:30:49 America/Santiago] obtenerValorDCUBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:31:33 America/Santiago] Usuario:|rcastro| Ingreso al sistema
[10-Jun-2025 10:31:37 America/Santiago] obtenerValorDCBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:31:37 America/Santiago] obtenerValorDCUBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:31:37 America/Santiago] obtenerValorDCUBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:35:42 America/Santiago] obtenerValorDCBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:35:42 America/Santiago] obtenerValorDCUBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:35:42 America/Santiago] obtenerValorDCUBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:35:48 America/Santiago] obtenerValorDCBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:35:48 America/Santiago] obtenerValorDCUBellet: valorItem asignado -> DC_bellet
[10-Jun-2025 10:35:48 America/Santiago] obtenerValorDCUBellet: valorItem asignado -> DC_bellet
